,id,brand,car_model,type,desc,problem,datetime,status
0,490161,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享进取型,一汽大众奥迪Q5L发动机故障灯常亮,"A34,",2020-07-01,信息审核
1,490160,东风标致,标致207,2011款 1.4 手动 驭乐版 两厢,东风标致207一挡起步踩油门时离合器打滑,"C16,",2020-07-01,信息审核
2,490159,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机黑屏要求更换硬件,"H155,M279,",2020-07-01,信息审核
3,490156,上汽大众,Polo,2018款 1.5L 自动 安驾型,上汽大众Polo转向异响希望厂家处理问题,"D59,",2020-07-01,信息审核
4,490155,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7车辆尾灯减配变速箱换挡闯挡,"B19,M279,Q350,",2020-07-01,信息审核
5,490154,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机卡顿死机要求更换硬件,"H155,M279,",2020-07-01,信息审核
6,490153,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后出现卡顿黑屏,"O348,",2020-07-01,信息审核
7,490152,广汽三菱,欧蓝德,2019款 2.4L 两驱 致行版 5座 国V,广汽三菱欧蓝德中控台刹车异响严重,"E43,H93,",2020-07-01,信息审核
8,490151,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯透镜通透性差车灯亮度不足,"H82,",2020-07-01,信息审核
9,490147,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级措施不到位,"O348,",2020-07-01,信息审核
10,490146,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后未能解决问题,"O348,",2020-07-01,信息审核
11,490145,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后死机卡顿,"O348,",2020-07-01,信息审核
12,490144,MINI,MINI,2018款 1.5T ONE 五门版,MINI涡轮增压器再次异响厂家不予保修,"A9,A189,I297,",2020-07-01,信息审核
13,490143,东风雷诺,科雷傲,2018款 2.0L 两驱 120周年限量版,东风雷诺科雷傲行驶过程中车内有低频嗡嗡声,"H164,",2020-07-01,信息审核
14,490142,骐铃汽车,骐铃T7,2018款 2.0T PLUS 两驱 豪华版 标准轴距 4K21D4T,江铃骐铃T7发动机和SVS故障灯亮动力不足,"A34,A163,A114,",2020-07-01,信息审核
15,490140,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后卡顿未解决	,"O348,",2020-07-01,信息审核
16,490139,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机硬件厂家未提供解决方案,"I295,",2020-07-01,信息审核
17,490138,吉利新能源,星越新能源,2019款 改款 400T 耀星者 纯电动续航56KM,吉利星越新能源车机卡顿死机版本与宣传不符,"H155,M279,",2020-07-01,信息审核
18,490137,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳前大灯透镜出现白色雾气,"H82,",2020-07-01,信息审核
19,490134,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机软件升级后卡顿希望厂家处理,"O348,",2020-07-01,信息审核
20,490133,众泰汽车,众泰T700,2017款 2.0T 双离合 豪华型,众泰T700转向助力失效4S店服务态度恶劣,"D156,D112,H168,I295,I293,I294,I282,K307,N318,",2020-07-01,信息审核
21,490132,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机系统升级后卡顿死机现象未解决,"O348,",2020-07-01,信息审核
22,490131,长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2离合器踏板弹簧无法回位车辆再次启动,"C16,",2020-07-01,信息审核
23,490130,吉利汽车,星越,2019款 350T 耀星者,吉利星越升级车机后依然卡顿要求更换硬件,"O348,",2020-07-01,信息审核
24,490128,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机软件升级后比之前卡顿更严重,"H155,M279,",2020-07-01,信息审核
25,490127,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来左前大灯开裂 升降开关脱落,"H168,H220,",2020-07-01,信息审核
26,490125,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后仍然出现卡顿	,"O348,",2020-07-01,信息审核
27,490123,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统死机卡顿升级后问题更严重,"O348,",2020-07-01,信息审核
28,490122,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越升级车机系统后还是有卡顿现象,"O348,",2020-07-01,信息审核
29,490120,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机存在异响,"A9,",2020-07-01,信息审核
0,490116,观致汽车,观致5,2018款 1.6T 自动 尊贵型,观致5中控无故黑屏希望厂家尽快解决,"H134,",2020-07-01,信息审核
1,490114,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越车机系统黑屏死机升级承诺不兑现,"H155,L314,",2020-07-01,信息审核
2,490111,吉利汽车,博越,2016款 2.0L 手动 两驱 智尚型,吉利博越变速箱异响车辆跑偏气囊报警,"B33,G117,H103,J298,",2020-07-01,信息审核
3,490110,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机软件进行升级硬件未处理,"O348,",2020-07-01,信息审核
4,490109,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机卡顿升级后未解决要求升级硬件,"L314,",2020-07-01,信息审核
5,490107,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级系统后依然出现卡顿黑屏,"H155,O348,",2020-07-01,信息审核
6,490106,吉利汽车,帝豪GS,2019款 1.5TD DCT 动 260T,吉利帝豪GS空调压缩机制冷时噪音大车内异响,"H101,H164,",2020-07-01,信息审核
7,490105,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后依旧黑屏卡顿,"H155,O348,",2020-07-01,信息审核
8,490104,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞前挡风玻璃处出现裂痕,"H113,",2020-07-01,信息审核
9,490100,上汽通用五菱,五菱荣光小卡,2019款 1.5L 基本型 单排 L3C 国VI,上汽通用五菱荣光小卡发动机支架螺丝断裂,"A145,",2020-07-01,信息审核
10,490098,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后多功能方向盘按键失灵,"O348,",2020-07-01,信息审核
11,490094,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后出现死机,"O348,",2020-07-01,信息审核
12,490093,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后死机严重,"O348,",2020-07-01,信息审核
13,490092,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 技术型,一汽大众奥迪Q5发动机节温器漏防冻液,"A37,",2020-07-01,信息审核
14,490091,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后死机卡顿严重,"O348,",2020-07-01,信息审核
15,490090,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁车身抖动 邓禄普轮胎开裂	,"F100,H268,",2020-07-01,信息审核
16,490088,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机卡顿死机系统版本与宣传不符	,"H155,M279,",2020-07-01,信息审核
17,490087,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机升级后卡顿要求更换车机,"H155,L313,O348,",2020-07-01,信息审核
18,490086,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后比之前还卡,"H155,O348,",2020-07-01,信息审核
19,490085,长安跨越,跨越王X1,2018款 1.2L 标准型 单排 后双轮 加长货箱 LJ469Q-AEB,长安跨越王X1新车车身倾斜4S店不予处理,"G83,I295,J298,O305,O324,",2020-07-01,信息审核
20,490083,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8引擎盖生锈4S店出售库存车,"H79,M283,",2020-07-01,信息审核
21,490082,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机进行系统升级后还是卡顿,"O348,",2020-07-01,信息审核
22,490081,上汽通用五菱,宝骏560,2016款 1.5T 手动 精英型,上汽通用五菱宝骏560马牌轮胎出现裂痕,"F100,",2020-07-01,信息审核
23,490080,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机升级后依旧有卡顿黑屏现象,"O348,",2020-07-01,信息审核
24,490076,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后依然卡顿死机,"H155,",2020-07-01,信息审核
25,490068,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后卡滞严重,"H155,O348,",2020-07-01,信息审核
26,490066,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后依然卡顿 雨刮抖动,"H155,H60,O348,",2020-07-01,信息审核
27,490065,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际氛围灯与宣传不符厂家不予解决,"I295,I294,M279,",2020-07-01,信息审核
28,490064,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机死机黑屏要求厂家兑现承诺,"H155,M279,",2020-07-01,信息审核
29,490062,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机升级后依然卡顿要求处理,"O348,",2020-07-01,信息审核
0,490061,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机软硬件总成调包以次充好,"O348,",2020-07-01,信息审核
1,490060,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7车辆尾灯功能不全与宣传不符,"M279,",2020-07-01,信息审核
2,490054,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障无配件4S店不处理,"H343,I295,I281,N318,",2020-07-01,信息审核
3,490052,吉利汽车,帝豪,2015款 1.5L CVT 向上版 三厢,吉利帝豪变速箱换挡机构故障无法断电,"B96,B184,",2020-07-01,信息审核
4,490051,吉利汽车,星越,2019款 300T 耀星者,吉利星越升级车机后依然卡顿无法彻底解决,"O348,",2020-07-01,信息审核
5,490050,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越升级车机后卡顿 内饰异响,"H164,H155,O348,",2020-07-01,信息审核
6,490049,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机卡顿 导航出现死机黑屏现象,"H134,H155,M279,",2020-07-01,信息审核
7,490048,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机系统升级后卡顿未解决,"O348,",2020-07-01,信息审核
8,490047,吉利汽车,星越,2019款 350T 驭星者,吉利星越出现死机现象系统版本不符,"H155,M279,",2020-07-01,信息审核
9,490046,广汽丰田,凯美瑞,2019款 双擎 2.5HG 豪华版 国VI,广汽丰田凯美瑞发动机机油增多超过上限,"A339,",2020-07-01,信息审核
10,490044,奇瑞汽车,艾瑞泽7e,2016款 1.6L e 致享版,奇瑞艾瑞泽7e车辆无法充电无召回通知,"A34,B96,H340,",2020-07-01,信息审核
11,490042,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统出现死机要求升级硬件	,"H155,",2020-07-01,信息审核
12,490040,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后依然死机黑屏	,"H155,O348,",2020-07-01,信息审核
13,490038,吉利汽车,星越,2020款 350T 驭星者,吉利星越车机系统升级后死机卡顿影响使用,"O348,",2020-07-01,信息审核
14,490037,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后仍然存在问题,"O348,",2020-07-01,信息审核
15,490036,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后依然死机卡顿,"O348,",2020-07-01,信息审核
16,490035,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能尊享版,江淮瑞风S3打方向时卡顿异响希望厂家处理,"D59,D123,",2020-07-01,信息审核
17,490033,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机升级后比之前卡顿严重,"H155,O348,",2020-07-01,信息审核
18,490032,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机系统升级后依然卡顿	,"H155,O348,",2020-07-01,信息审核
19,490031,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机升级后依然卡顿死机,"H155,O348,",2020-07-01,信息审核
20,490030,上汽集团,名爵6,2014款 1.8L 手动 驾值版 掀背,上汽名爵6双闪灯自动开启希望厂家处理,"H110,",2020-07-01,厂家受理
21,490026,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机黑屏操作版本与宣传不符	,"H155,M279,",2020-07-01,信息审核
22,490025,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机系统升级不兑现	,"H155,M279,",2020-07-01,信息审核
23,490024,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机升级后比之前卡顿希望处理,"H155,O348,",2020-07-01,信息审核
24,490023,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超能版 国VI,上汽名爵HS发动机油耗高车身漆面变色,"A85,H201,",2020-07-01,厂家受理
25,490017,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L SOS紧急呼叫功能故障,"H170,",2020-07-01,信息审核
26,490016,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 风尚型 30周年年型,一汽大众奥迪Q3刹车失灵 故障灯亮,"A174,E29,E62,",2020-07-01,信息审核
27,490012,上汽大众,朗逸,2018款 280TSI DSG 豪华版 国V,上汽大众朗逸轮毂氧化售后不予质保,"H243,",2020-07-01,信息审核
28,490009,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i豪华版,一汽丰田卡罗拉发动机异响 变速箱低速顿挫,"A9,B19,",2020-07-01,信息审核
29,490007,奥迪（进口）,奥迪Q7,2018款 45 TFSI 尊贵型,进口奥迪Q7车内异味不散 空调出风异味,"H185,H121,",2020-07-01,信息审核
0,490001,上汽大众,途观L,2019款 330TSI 自动 两驱 R-Line旗舰版 国V,上汽大众途观L升降挡时变速箱顿挫有异响,"B33,B19,",2020-07-01,信息审核
1,490000,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车变速箱没有挡位指示灯,"M279,",2020-07-01,信息审核
2,489997,上汽斯柯达,明锐,2017款 1.6L 手动 智行版,斯柯达明锐发动机离合器异响变速箱漏油,"A9,C65,G204,G51,H192,",2020-07-01,信息审核
3,489995,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸电瓶亏电中控屏自动亮起,"H134,H146,H82,",2020-06-30,信息审核
4,489992,上汽斯柯达,明锐,2015款 1.6L 自动 逸致版,斯柯达明锐车内一直有浓重的异味,"H185,",2020-06-30,信息审核
5,489988,领克汽车,领克01,2019款 2.0T 两驱型 Pro版 国VI,领克01行驶过程中后视镜和车门有异响,"H72,H211,",2020-06-30,信息审核
6,489987,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,马自达昂克赛拉中控屏开裂 仪表盘边框掉漆,"H134,H81,",2020-06-30,信息审核
7,489986,北京奔驰,奔驰C级,2020款 C 260 L 运动版,北京奔驰C级发动机抖动故障灯闪烁,"A24,A34,",2020-06-30,信息审核
8,489985,上汽大众,朗逸,2013款 1.6L 自动 风尚版 改款,上汽大众朗逸车内一直存在浓重的异味,"H185,",2020-06-30,信息审核
9,489984,奔驰（进口）,奔驰S级,2019款 S 450 L 4MATIC,奔驰S级轮毂开裂厂家拖延不给处理,"H243,I295,I282,",2020-06-30,信息审核
10,489979,上汽斯柯达,晶锐,2017款 1.4L 手动 车享版,斯柯达晶锐轮速传感器损坏要求厂家处理,"E74,H234,",2020-06-30,信息审核
11,489978,奇瑞汽车,艾瑞泽5,2018款 1.5L CVT 致敬青春版,奇瑞艾瑞泽5行驶过程中方向盘抖动,"D80,",2020-06-30,信息审核
12,489973,长城汽车,哈弗H7,2017款 2.0T 尊贵型 蓝标 H7L,哈弗H7变速箱漏油维修后未解决,"B22,",2020-06-30,信息审核
13,489972,奥迪（进口）,奥迪Q7,2016款 40 TFSI S-Line运动型,奥迪Q7转动方向盘时存在吱吱异响,"D59,",2020-06-30,信息审核
14,489967,北京现代,名图,2014款 1.8L 自动 智能型,北京现代名图发动机怠速抖动 一键升降失灵,"A24,H67,",2020-06-30,信息审核
15,489964,江铃集团新能源,易至EV3,2019款 悦跑版,江铃新能源易至EV3前保险杠右侧车漆翘皮,"H81,",2020-06-30,信息审核
16,489961,吉利汽车,星越,2019款 300T 耀星者,吉利星越升级车机后更加卡顿希望尽快解决,"O348,",2020-06-30,信息审核
17,489960,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞中控仪表盘冒油严重,"H176,",2020-06-30,信息审核
18,489958,奇瑞新能源,奇瑞eQ1,2017款 智享版,奇瑞eQ1动力电池缺陷导致续航里程不足,"H343,H344,",2020-06-30,信息审核
19,489956,广汽本田,雅阁,2016款 2.0L CVT 精英版,广汽本田雅阁座椅开裂 中控异响 导航死机,"H134,H168,H93,",2020-06-30,信息审核
20,489954,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越与宣传不符实车缺少挡位灯,"M279,",2020-06-30,信息审核
21,489953,一汽-大众奥迪,奥迪A6L,2012款 35 FSI CVT 豪华型,一汽大众奥迪A6L全景天窗漏水要求免费维修,"H90,",2020-06-30,信息审核
22,489952,长安汽车,逸动DT,2018款 1.6L 手动 智享型,长安逸动DT发动机噪音大抖动车机系统卡顿,"A9,A24,H155,H201,",2020-06-30,信息审核
23,489951,吉利汽车,远景,2015款 1.5L 手动 进取型,吉利远景变速箱电脑板再次出现故障,"B115,",2020-06-30,信息审核
24,489950,一汽大众,捷达VS5,2019款 280TSI 自动 荣耀型,一汽大众捷达VS5发动机故障灯亮,"A34,",2020-06-30,信息审核
25,489949,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾机油增多希望尽快处理,"A339,",2020-06-30,信息审核
26,489948,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾新车变速箱异响4S店不处理,"B33,",2020-06-30,信息审核
27,489944,上汽通用五菱,宝骏560,2017款 1.5T DCT 尊享型,宝骏560变速器异响加速无力频繁跳挡,"B33,B334,B27,",2020-06-30,信息审核
28,489943,一汽丰田,奕泽IZOA,2018款 2.0L 奕驰版 国VI,一汽丰田奕泽油箱密封胶圈产生裂纹,"H168,",2020-06-30,信息审核
29,489940,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越车漆开裂4S店倒车撞断后保险杠,"H81,J299,",2020-06-30,信息审核
0,489939,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度空调不制冷启动后高温报警,"A191,H101,",2020-06-30,信息审核
1,489938,比亚迪,比亚迪S7,2016款 2.0T 自动 豪华型,比亚迪S7变速箱抖动希望厂家召回处理,"B95,",2020-06-30,厂家受理
2,489937,上汽大众,途观L,2018款 380TSI 自动 四驱 豪华版,上汽大众途观L发动机启停故障存在质量问题,"H263,J298,",2020-06-30,信息审核
3,489935,广汽丰田,雷凌,2019款 双擎 1.8H E-CVT 豪华版 国VI,广汽丰田雷凌方向跑偏变速箱异响严重,"B33,G117,",2020-06-30,信息审核
4,489930,上汽大众,途昂,2020款 380TSI 四驱 旗舰版 国VI,上汽大众途昂变速箱漏油要求更换总成,"B22,",2020-06-30,信息审核
5,489928,吉利汽车,远景,2019款 升级版 1.5L CVT 尊贵型 国VI,吉利远景销售商承诺退续保押金未兑现,"L313,",2020-06-30,信息审核
6,489927,华晨宝马,宝马X1,2016款 xDrive20Li 豪华型,华晨宝马X1行驶途中无力存在安全隐患,"A44,A255,H134,",2020-06-30,信息审核
7,489926,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8转向异响维修未解决问题,"D59,",2020-06-30,信息审核
8,489925,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸车内异味希望厂家处理问题,"H185,",2020-06-30,信息审核
9,489922,上汽集团,名爵6,2019款 20T 自动 Trophy 十周年版,上汽名爵6系统升级后油耗偏高动力消失,"A85,A255,O348,",2020-06-30,厂家受理
10,489919,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动转向异响发动机故障灯亮,"A9,A34,D59,",2020-06-30,信息审核
11,489918,上汽斯柯达,明锐,2017款 1.6L 自动 智行版,斯柯达明锐中网进气口严重掉漆脱皮,"H81,",2020-06-30,信息审核
12,489917,猎豹汽车,猎豹CS10,2017款 2.0T 自动 豪华型,猎豹CS10方向机天窗车门异响希望处理,"D59,H72,H89,",2020-06-30,信息审核
13,489916,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5车辆漆面生锈影响美观,"H79,H81,",2020-06-30,信息审核
14,489915,奥迪（进口）,奥迪A7,2018款 40 TFSI 进取型,奥迪A7经销商变相收费要求尽快处理,"K307,",2020-06-30,信息审核
15,489914,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越前悬挂行驶不平整路面时异响,"G56,",2020-06-30,信息审核
16,489912,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL气囊报警 尾灯起雾 转向与减震响,"D59,G52,H88,H103,",2020-06-30,信息审核
17,489911,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 旗舰型,长安CS75 PLUS车机卡顿影响正常使用,"H155,",2020-06-30,信息审核
18,489909,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商变相收取续保押金,"K307,",2020-06-30,信息审核
19,489906,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,领克01车机死机 发动机异响 刹车盘磨损,"A9,E47,H155,",2020-06-30,信息审核
20,489903,东风裕隆,U5 SUV,2017款 1.6L CVT 旗舰版,纳智捷U5 SUV经销商一直无配件导致无法维修,"N318,",2020-06-30,厂家受理
21,489901,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408空调不制冷影响正常使用,"H101,",2020-06-30,厂家受理
22,489900,吉利汽车,星越,2019款 改款 300T 耀星者,吉利星越车机系统升级后卡顿要求处理,"H155,O348,",2020-06-30,信息审核
23,489899,东风标致,标致308,2014款 乐享版 经典 1.6L 手动 优尚型,东风标致308扬声器无防水罩导致喇叭进水,"H109,",2020-06-30,厂家受理
24,489897,吉利汽车,远景,2017款 1.5L 手动 幸福版,吉利远景开启空调后压缩机出现异响,"H101,",2020-06-30,信息审核
25,489895,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,"A44,",2020-06-30,信息审核
26,489892,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾4S店内私自收取金融服务费,"K307,",2020-06-30,信息审核
27,489891,吉利汽车,星越,2019款 350T 耀星者,吉利星越变速箱挂D挡溜车刹车踩不住,"E29,",2020-06-30,信息审核
28,489888,雷克萨斯,雷克萨斯NX,2015款 200t 锋尚版 全驱 5座,雷克萨斯NX发动机真空阀损坏出现异响,"A9,A163,",2020-06-30,信息审核
29,489887,长城汽车,哈弗H6 Coupe,2019款 1.5T 自动 两驱 豪华智联版 国V,哈弗H6 Coupe国5车型不支持远程控制,"M279,",2020-06-30,处理反馈
0,489885,吉利汽车,星越,2019款 350T 耀星者,吉利星越紧急救援电话形同虚设无法拨通,"H155,",2020-06-30,信息审核
1,489883,上汽大众,途观L新能源,2019款 430PHEV 混动豪华版,上汽大众途观L新能源仪表盘外罩开裂,"H168,",2020-06-30,信息审核
